District_Name,X,Y
Dinajpur,-222,306
Gaibandha,-116,238
Kurigram,-93,315
Lalmonirhat,-131,347
Nilphamari,-198,358
Panchagarh,-247,400
Rangpur,-153,303
Thakurgaon,-200,354
Bogura,-136,181
Joypurhat,-177,221
Naogaon,-223,201
Natore,-176,112
Chapai Nawabganj,-297,163
Pabna,-134,64
Rajshahi,-237,122
Sirajganj,-101,105
Habiganj,148,110
Moulvibazar,205,126
Sunamganj,143,189
Sylhet,218,196
Jamalpur,-77,191
Mymensingh,11,154
Netrokona,65,186
Sherpur,-38,216
Bagerhat,-84,-165
Chuadanga,-209,-2
Jashore,-166,-86
Jhenaidah,-168,-18
Khulna,-130,-154
Kushtia,-183,34
Magura,-133,-33
Meherpur,-299,22
Narail,-109,-76
Satkhira,-176,-167
Dhaka,1,21
Faridpur,-70,-21
Gazipur,7,68
Gopalganj,-69,-84
Kishoreganj,76,110
Madaripur,-26,-68
Manikganj,-58,28
Munshiganj,-3,-19
Narayanganj,29,12
Narsingdi,56,52
Rajbari,-116,10
Shariatpur,6,-57
Tangail,-52,108
Bandarban,273,-286
Brahmanbaria,102,45
Chandpur,54,-55
Chittagong,207,-192
Comilla,102,-34
Cox's Bazar,233,-329
Feni,145,-103
Khagrachhari,218,-77
Lakshmipur,66,-110
Noakhali,105,-126
Rangamati,266,-149
Barguna,-27,-224
Barishal,-13,-120
Bhola,59,-194
Jhalokati,-23,-165
Patuakhali,7,-201
Pirojpur,-49,-143
