,0
0,Dinajpur
1,Gaibandha
2,Kurigram
3,Lalmonirhat
4,Nilphamari
5,Panchagarh
6,Rangpur
7,Thakurgaon
8,Bogura
9,Joypurhat
10,Naogaon
11,Natore
12,Chapai Nawabganj
13,Pabna
14,Rajshahi
15,Sirajganj
16,Habiganj
17,Moulvibazar
18,Sunamganj
19,Sylhet
20,Jamalpur
21,Mymensingh
22,Netrokona
23,Sherpur
24,Bagerhat
25,Chuadanga
26,Jashore
27,Jhenaidah
28,Magura
29,Meherpur
30,Narail
31,Satkhira
32,Faridpur
33,Gazipur
34,Gopalganj
35,Kishoreganj
36,Madaripur
37,Manikganj
38,Munshiganj
39,Narayanganj
40,Narsingdi
41,Rajbari
42,Shariatpur
43,Tangail
44,Bandarban
45,Brahmanbaria
46,Chandpur
47,Chittagong
48,Comilla
49,Cox's Bazar
50,Khagrachhari
51,Lakshmipur
52,Noakhali
53,Rangamati
54,Barguna
55,Barishal
56,Bhola
57,Jhalokati
58,Patuakhali
59,Pirojpur
